column,non_null_count,null_count,null_pct,nunique_excluding_null,top_category,top_count,top_share_pct,rare_categories_count,top_categories_preview
nombre_del_procedimiento,429540,1,0.0002,251183,PRESTACION DE SERVICIOS PROFESIONALES,12520,2.9147,251180,"PRESTACION DE SERVICIOS PROFESIONALES, PRESTACION DE SERVICIOS, PRESTACION DE SERVICIOS DE APOYO A LA GESTION, PRESTACIÓN DE SERVICIOS PROFESIONALES, PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN"
categorias_adicionales,68969,360572,83.9436,33745,,360572,83.9436,33745,"None, V180111600, V180111620, V180111500, V180111600, V180111600, V180111700"
codigo_principal_de_categoria,429541,0,0.0,8594,V1.80111600,117129,27.2684,8586,"V1.80111600, V1.80111500, V1.80111701, V1.80111620, V1.80111501"
nombre_de_la_unidad_de,429541,0,0.0,3454,SUBDIRECCION DE CONTRATACION,8011,1.865,3450,"SUBDIRECCION DE CONTRATACION, CONTRATACION, Secretaría General - IUCMA, DIRECCIÓN DE CONTRATACIÓN, GRUPO GESTION CONTRACTUAL"
entidad,429541,0,0.0,1985,(Secretaría Distrital de Integración Social),7636,1.7777,1982,"(Secretaría Distrital de Integración Social), INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA, SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL), INSTITUCIÓN UNIVERSITARIA ITM, ESE HOSPITAL MANUEL URIBE ANGEL"
codigo_entidad,429541,0,0.0,1985,702271321,7636,1.7777,1982,"702271321, 704629146, 702729500, 703000075, 703949024"
nit_entidad,429541,0,0.0,1627,890399011,15198,3.5382,1619,"890399011, 899999034, 899999061, 8999990619, 899999027"
ciudad_de_la_unidad_de,429541,0,0.0,454,NO_APLICA,123323,28.7104,440,"NO_APLICA, Bogotá, Cali, Medellín, Bucaramanga"
ciudad_entidad,338866,90675,21.1097,409,Bogotá,93464,21.759,392,"Bogotá, None, Cali, Medellín, Bucaramanga"
departamento_entidad,421806,7735,1.8008,33,Distrito Capital de Bogotá,146525,34.112,13,"Distrito Capital de Bogotá, Antioquia, Valle del Cauca, Santander, Cundinamarca"
justificaci_n_modalidad_de,429541,0,0.0,32,Servicios profesionales y apoyo a la gestión,262411,61.091,22,"Servicios profesionales y apoyo a la gestión, Regla aplicable, Presupuesto inferior al 10% de la menor cuantía, Presupuesto menor al 10% de la Menor Cuantía, Decreto 092 de 2017"
tipo_de_contrato,428958,583,0.1357,23,Prestación de servicios,312293,72.7039,17,"Prestación de servicios, Otro, Suministros, Compraventa, Decreto 092 de 2017"
modalidad_de_contratacion,429541,0,0.0,17,Contratación directa,283364,65.969,10,"Contratación directa, Contratación régimen especial, Mínima cuantía, Selección Abreviada de Menor Cuantía, Solicitud de información a los Proveedores"
fase,429491,50,0.0116,13,Presentación de oferta,213594,49.7261,10,"Presentación de oferta, Fase de ofertas, Presentación de observaciones, Manifestación de interés (Menor Cuantía), Fase de Selección (Presentación de ofertas)"
unidad_de_duracion,429541,0,0.0,6,día(s),266902,62.1366,3,"día(s), Mes(es), Año(s), Hora(s), UNIDAD_DESCONOCIDA"
nivel_riesgo_transparencia,429541,0,0.0,3,medio,337686,78.6155,1,"medio, bajo, alto"
ordenentidad,429541,0,0.0,3,Territorial,268565,62.5237,0,"Territorial, Nacional, Corporación Autónoma"
confianza_label,429541,0,0.0,3,baja,265155,61.7298,0,"baja, media, alta"
duracion_improbable,429541,0,0.0,2,False,429348,99.9551,1,"False, True"
unidad_de_duracion_desconocida,429541,0,0.0,2,False,428958,99.8643,1,"False, True"
fue_duplicado_logico,429541,0,0.0,2,False,428040,99.6506,1,"False, True"
flag_precio_base_extremo,429541,0,0.0,2,False,427863,99.6094,1,"False, True"
fue_duplicado_exacto,429541,0,0.0,2,False,427610,99.5505,1,"False, True"
tiene_descripcion,429541,0,0.0,2,True,425640,99.0918,1,"True, False"
anomalia_apertura_antes_recepcion,429541,0,0.0,2,False,411498,95.7995,0,"False, True"
anomalia_temporal,429541,0,0.0,2,False,411454,95.7892,0,"False, True"
precio_base_es_cero,429541,0,0.0,2,False,410107,95.4756,0,"False, True"
competencia_reportada,429541,0,0.0,2,False,365468,85.0834,0,"False, True"
tiene_categorias_adicionales,429541,0,0.0,2,False,360572,83.9436,0,"False, True"
tiene_fecha_apertura_respuesta,429541,0,0.0,2,False,356703,83.0428,0,"False, True"
tiene_fecha_apertura_efectiva,429541,0,0.0,2,False,345763,80.4959,0,"False, True"
codigo_pci,429541,0,0.0,2,Centralizada,341236,79.442,0,"Centralizada, Descentralizada"
ausencia_geografica,429541,0,0.0,2,False,338866,78.8903,0,"False, True"
tiene_fecha_recepcion,429541,0,0.0,2,False,335314,78.0633,0,"False, True"
tiene_urlproceso,429541,0,0.0,1,True,429541,100.0,0,True
