column,dtype,semantic_group,report_aliases
entidad,string,categorical,none
nit_entidad,string,categorical,none
departamento_entidad,string,categorical,none
ciudad_entidad,string,categorical,none
ordenentidad,string,categorical,none
codigo_pci,string,categorical,none
id_del_proceso,string,technical,none
referencia_del_proceso,string,technical,none
id_del_portafolio,string,technical,none
nombre_del_procedimiento,string,categorical,none
descripci_n_del_procedimiento,string,text,descripcion_del_procedimiento
fase,string,categorical,none
fecha_de_publicacion_del,"datetime64[us, UTC]",datetime,fecha_de_publicacion
precio_base,float64,numeric,none
modalidad_de_contratacion,string,categorical,none
justificaci_n_modalidad_de,string,categorical,none
duracion,float64,numeric,none
unidad_de_duracion,string,categorical,none
fecha_de_recepcion_de,"datetime64[us, UTC]",datetime,fecha_de_recepcion
fecha_de_apertura_de_respuesta,"datetime64[us, UTC]",datetime,fecha_de_apertura
ciudad_de_la_unidad_de,string,categorical,none
nombre_de_la_unidad_de,string,categorical,none
proveedores_invitados,int64,numeric,none
proveedores_con_invitacion,int64,numeric,none
visualizaciones_del,int64,numeric,none
respuestas_al_procedimiento,int64,numeric,none
respuestas_externas,int64,numeric,none
conteo_de_respuestas_a_ofertas,int64,numeric,none
proveedores_unicos_con,int64,numeric,none
numero_de_lotes,int64,numeric,none
codigo_principal_de_categoria,string,categorical,none
tipo_de_contrato,string,categorical,none
categorias_adicionales,string,categorical,none
urlproceso,string,technical,none
codigo_entidad,string,categorical,none
precio_base_es_cero,bool,boolean,none
precio_base_log,float64,numeric,none
flag_precio_base_extremo,bool,boolean,none
duracion_dias,float64,numeric,none
duracion_improbable,bool,boolean,none
unidad_de_duracion_desconocida,bool[pyarrow],boolean,none
tiene_descripcion,bool,text,none
tiene_urlproceso,bool,boolean,none
tiene_categorias_adicionales,bool,boolean,none
ausencia_geografica,bool,boolean,none
tiene_fecha_recepcion,bool,boolean,none
tiene_fecha_apertura_respuesta,bool,boolean,none
tiene_fecha_apertura_efectiva,bool,boolean,none
dias_hasta_recepcion,float64,numeric,none
anomalia_apertura_antes_recepcion,bool,boolean,none
missing_temporal_count,int64,numeric,none
anomalia_temporal,bool,boolean,none
competencia_reportada,bool,boolean,none
intensidad_competencia_log,float64,numeric,none
ratio_proveedores_vs_invitados,float64,numeric,none
completitud_critica,float64,numeric,none
fue_duplicado_exacto,bool,boolean,none
fue_duplicado_logico,bool,boolean,none
longitud_descripcion,Int64,text,none
flag_tiene_descripcion_util,int8,text,none
flag_tiene_categoria,int8,binary_numeric,none
flag_tiene_precio_base,int8,binary_numeric,none
flag_tiene_ubicacion_entidad,int8,binary_numeric,none
flag_tiene_tipo_modalidad,int8,binary_numeric,none
missing_required_fields_count,int8,numeric,none
flag_id_proceso_valido,int8,binary_numeric,none
flag_referencia_valida,int8,binary_numeric,none
flag_tiene_url_publica,int8,binary_numeric,none
penalizacion_duplicado,int8,binary_numeric,none
flag_portafolio_disponible,int8,binary_numeric,none
dias_publicacion_a_recepcion,float64,numeric,none
dias_recepcion_a_apertura,float64,numeric,none
dias_publicacion_a_apertura,float64,numeric,none
flag_fechas_temporales_disponibles,int8,binary_numeric,none
flag_publicacion_antes_recepcion,int8,binary_numeric,none
flag_recepcion_antes_apertura,int8,binary_numeric,none
flag_ventana_recepcion_razonable,int8,binary_numeric,none
flag_ventana_apertura_razonable,int8,binary_numeric,none
flag_coherencia_temporal_global,int8,binary_numeric,none
total_respuestas,int64,numeric,none
total_interes_oferentes,int64,numeric,none
flag_hubo_participacion,int8,binary_numeric,none
flag_hubo_competencia_minima,int8,binary_numeric,none
flag_datos_competencia_disponibles,int8,binary_numeric,none
intensidad_competencia_normalizada,float64,numeric,none
score_completitud,float64,numeric,none
score_trazabilidad_base,float64,numeric,none
score_trazabilidad,float64,numeric,none
score_temporal,float64,numeric,none
score_competencia,float64,numeric,none
transparency_score,float64,numeric,none
riesgo_baja_transparencia,int8,binary_numeric,none
nivel_riesgo_transparencia,string,categorical,none
flag_evidencia_completitud_suficiente,int8,binary_numeric,none
flag_evidencia_trazabilidad_suficiente,int8,binary_numeric,none
flag_evidencia_temporal_suficiente,int8,binary_numeric,none
flag_evidencia_competencia_suficiente,int8,binary_numeric,none
evidence_coverage,float64,numeric,none
margin_to_threshold,float64,numeric,none
confianza_label,string,categorical,none
