variable,precio_base,duracion,proveedores_invitados,proveedores_con_invitacion,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,visualizaciones_del,dias_hasta_recepcion,dias_hasta_apertura,duracion_proceso_si_aplica
precio_base,1.0,-7.909784550647743e-05,-0.0014518668929261068,0.0002736287242420497,0.05941244320678464,0.018054186811288713,0.0004026173243124652,0.060651574847035365,0.017553406125988717,0.07522788031505635,0.003224780124068083,0.003035144946695975,0.005933923615277767
duracion,-7.909784550647743e-05,1.0,0.0002756714507203885,-0.00031825989682567377,-0.00012973901775462977,-0.00013505136204005334,-0.0002621259165690322,-8.285834732974545e-05,-0.0005151652976054264,-0.0009650512852402759,0.050624920331256436,0.050739489418684426,0.06640183447497364
proveedores_invitados,-0.0014518668929261068,0.0002756714507203885,1.0,0.04011371711316656,0.003021145278647986,0.020938177553064135,-0.006700751563668209,0.003673494369230549,-0.013470166419194698,0.03166927050213804,,,
proveedores_con_invitacion,0.0002736287242420497,-0.00031825989682567377,0.04011371711316656,1.0,0.08260240282392946,0.019078488623495614,-0.004697366019823371,0.0854480900105836,0.03016122074486135,0.2426898863533129,,,
respuestas_al_procedimiento,0.05941244320678464,-0.00012973901775462977,0.003021145278647986,0.08260240282392946,1.0,0.07196546966669883,0.24960892495886286,0.984561224546343,0.2467471873839057,0.6103997214191936,,,
respuestas_externas,0.018054186811288713,-0.00013505136204005334,0.020938177553064135,0.019078488623495614,0.07196546966669883,1.0,-0.0010601208113885168,0.043877471736792774,0.004676001632190562,0.06023696580855669,,,
conteo_de_respuestas_a_ofertas,0.0004026173243124652,-0.0002621259165690322,-0.006700751563668209,-0.004697366019823371,0.24960892495886286,-0.0010601208113885168,1.0,0.0788395093834937,0.20512015925474017,0.0997598211208387,,,
proveedores_unicos_con,0.060651574847035365,-8.285834732974545e-05,0.003673494369230549,0.0854480900105836,0.984561224546343,0.043877471736792774,0.0788395093834937,1.0,0.2176990299128133,0.6098739835583381,,,
numero_de_lotes,0.017553406125988717,-0.0005151652976054264,-0.013470166419194698,0.03016122074486135,0.2467471873839057,0.004676001632190562,0.20512015925474017,0.2176990299128133,1.0,0.19176156194479607,0.009079306342492563,0.008402338693049375,0.020643388097906383
visualizaciones_del,0.07522788031505635,-0.0009650512852402759,0.03166927050213804,0.2426898863533129,0.6103997214191936,0.06023696580855669,0.0997598211208387,0.6098739835583381,0.19176156194479607,1.0,0.17647388521843393,0.17525987631098797,0.21626085796582772
dias_hasta_recepcion,0.003224780124068083,0.050624920331256436,,,,,,,0.009079306342492563,0.17647388521843393,1.0,0.9984002820571397,0.705296178257033
dias_hasta_apertura,0.003035144946695975,0.050739489418684426,,,,,,,0.008402338693049375,0.17525987631098797,0.9984002820571397,1.0,0.7096517004067807
duracion_proceso_si_aplica,0.005933923615277767,0.06640183447497364,,,,,,,0.020643388097906383,0.21626085796582772,0.705296178257033,0.7096517004067807,1.0
