column,non_null_count,null_count,mean,median,std,min,p01,p05,p25,p50,p75,p95,p99,max,iqr,lower_bound_iqr,upper_bound_iqr,outlier_count_iqr,outlier_pct_iqr
precio_base,450000,0,602279136.1842245,15327319.5,25585810201.40517,-193196838.0,0.0,435600.0,6456000.0,15327319.5,45000000.0,817358694.0499936,6074146980.0,13212285859000.0,38544000.0,-51360000.0,102816000.0,71898,15.9773
duracion,450000,0,481.9286622222222,21.0,106655.83292055936,0.0,0.0,0.0,4.0,21.0,106.0,247.0,365.0,50000000.0,102.0,-149.0,259.0,19177,4.2616
proveedores_invitados,450000,0,23.50188222222222,0.0,214.60026310265883,0.0,0.0,0.0,0.0,0.0,0.0,3.0,710.0,6932.0,0.0,0.0,0.0,30562,6.7916
proveedores_con_invitacion,450000,0,0.3384577777777778,0.0,4.408605293564045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,341.0,0.0,0.0,0.0,18479,4.1064
proveedores_que_manifestaron,450000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
respuestas_al_procedimiento,450000,0,1.3077533333333333,0.0,7.5720339091096,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,231.0,0.0,0.0,0.0,82562,18.3471
respuestas_externas,450000,0,0.007788888888888889,0.0,0.22417131443619265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2077,0.4616
conteo_de_respuestas_a_ofertas,450000,0,0.08024222222222223,0.0,1.3114531833955372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,3728,0.8284
proveedores_unicos_con,450000,0,1.21972,0.0,7.34190064829191,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,231.0,0.0,0.0,0.0,81027,18.006
numero_de_lotes,450000,0,0.55844,0.0,4.275315043154057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,0.0,0.0,0.0,21571,4.7936
visualizaciones_del,450000,0,8.818995555555556,0.0,32.09658420790145,0.0,0.0,0.0,0.0,0.0,1.0,49.0,159.0,617.0,1.0,-1.5,2.5,100731,22.3847
