outcome_column,group_column,n_used,n_groups,group_collapsed,normality_test,normality_pvalue_min,all_groups_normal,homoscedasticity_test,homoscedasticity_pvalue,homoscedastic,parametric_test_recommended,large_sample_warning,status,skip_reason
duracion_dias,departamento_entidad,421255,9,True,Shapiro-Wilk,4.377225377870536e-88,False,Levene,0.1652456835384443,True,False,True,ok,
duracion_dias,fase,428908,9,True,Shapiro-Wilk,9.788335188169032e-90,False,Levene,0.7111007139931766,True,False,True,ok,
duracion_dias,justificaci_n_modalidad_de,428958,9,True,Shapiro-Wilk,8.83443762030404e-96,False,Levene,0.0013907716288224488,False,False,True,ok,
duracion_dias,modalidad_de_contratacion,428958,9,True,Shapiro-Wilk,8.83443762030404e-96,False,Levene,0.012699958775871968,False,False,True,ok,
duracion_dias,ordenentidad,428958,3,False,Shapiro-Wilk,1.6326905549788985e-81,False,Levene,0.0015214614019788634,False,False,True,ok,
duracion_dias,tipo_de_contrato,428958,9,True,Shapiro-Wilk,8.83443762030404e-96,False,Levene,0.8990733056140979,True,False,True,ok,
precio_base_log,departamento_entidad,421804,9,True,Shapiro-Wilk,1.6974009594556591e-78,False,Levene,0.0,False,False,True,ok,
precio_base_log,fase,429489,9,True,Shapiro-Wilk,1.1249891686426226e-78,False,Levene,0.0,False,False,True,ok,
precio_base_log,justificaci_n_modalidad_de,429539,9,True,Shapiro-Wilk,1.4141777578972846e-78,False,Levene,0.0,False,False,True,ok,
precio_base_log,modalidad_de_contratacion,429539,9,True,Shapiro-Wilk,2.3134282377230076e-78,False,Levene,0.0,False,False,True,ok,
precio_base_log,ordenentidad,429539,3,False,Shapiro-Wilk,7.734183046796368e-76,False,Levene,0.0,False,False,True,ok,
precio_base_log,tipo_de_contrato,428956,9,True,Shapiro-Wilk,2.9264032955717006e-71,False,Levene,0.0,False,False,True,ok,
total_interes_oferentes,ordenentidad,429541,3,False,Shapiro-Wilk,6.569147023725897e-93,False,Levene,7.307417293523958e-242,False,False,True,ok,
total_respuestas,departamento_entidad,421806,9,True,Shapiro-Wilk,3.1407642712563737e-93,False,Levene,1.3627723255126542e-146,False,False,True,ok,
total_respuestas,fase,429491,9,True,Shapiro-Wilk,8.396456040674336e-95,False,Levene,0.0,False,False,True,ok,
total_respuestas,justificaci_n_modalidad_de,429541,9,True,Shapiro-Wilk,7.780572201610874e-93,False,Levene,0.0,False,False,True,ok,
total_respuestas,modalidad_de_contratacion,429541,9,True,Shapiro-Wilk,6.555017361437957e-89,False,Levene,0.0,False,False,True,ok,
total_respuestas,ordenentidad,429541,3,False,Shapiro-Wilk,3.399929494974596e-92,False,Levene,0.0,False,False,True,ok,
total_respuestas,tipo_de_contrato,428958,9,True,Shapiro-Wilk,7.278862981430517e-93,False,Levene,0.0,False,False,True,ok,
transparency_score,departamento_entidad,421806,9,True,Shapiro-Wilk,1.5347010174532664e-77,False,Levene,0.0,False,False,True,ok,
transparency_score,fase,429491,9,True,Shapiro-Wilk,8.646716085399864e-86,False,Levene,0.0,False,False,True,ok,
transparency_score,justificaci_n_modalidad_de,429541,9,True,Shapiro-Wilk,1.0710853738716534e-80,False,Levene,0.0,False,False,True,ok,
transparency_score,modalidad_de_contratacion,429541,9,True,Shapiro-Wilk,4.47972729878528e-79,False,Levene,0.0,False,False,True,ok,
transparency_score,ordenentidad,429541,3,False,Shapiro-Wilk,2.000692815478655e-74,False,Levene,0.0,False,False,True,ok,
transparency_score,tipo_de_contrato,428958,9,True,Shapiro-Wilk,2.4774184556754547e-81,False,Levene,0.0,False,False,True,ok,
