departamento_entidad,Clarification submission,Fase de Selección (Presentación de ofertas),Fase de ofertas,Manifestación de interés (Menor Cuantía),Other,Presentación de observaciones,Presentación de oferta,Pré-Calificación de competidores,Selección de ofertas (borrador)
Antioquia,152,82,26140,443,10,1221,22979,72,17
Atlántico,35,23,5938,137,4,217,5513,21,2
Cundinamarca,28,68,4750,391,3,948,8824,15,17
Distrito Capital de Bogotá,359,270,53355,1751,71,4656,85880,110,55
Norte de Santander,4,38,5151,118,3,306,4919,2,5
Other,216,361,53691,1982,38,4186,49972,94,54
Santander,44,41,11891,165,2,518,7404,3,8
Tolima,15,33,3750,178,0,394,6329,4,0
Valle del Cauca,78,56,26695,591,13,951,16867,21,8
