column,category,successes,n_used,estimate,standard_error,confidence_level,ci_lower,ci_upper,sampling_applied
anomalia_temporal,positive,18087,429541,0.0421077382601428,0.0003064340194878164,0.95,0.04151122231637012,0.042712444148703614,False
competencia_reportada,positive,64073,429541,0.14916620299342787,0.0005435697399009448,0.95,0.14810396356273633,0.15023471750161552,False
fase,Clarification submission,942,429491,0.002193293922340631,7.138296663192053e-05,0.95,0.002057768123501511,0.002337724619574188,False
fase,Fase de Selección (Presentación de ofertas),981,429491,0.00228409908473053,7.284233903848827e-05,0.95,0.0021457136128263865,0.00243138783068228,False
fase,Fase de ofertas,193835,429491,0.45131329876528264,0.0007593189679039445,0.95,0.4498255029875301,0.45280196546366036,False
fase,Manifestación de interés (Menor Cuantía),5863,429491,0.013651042745948111,0.00017706029129764127,0.95,0.01330833521141565,0.01400245021962505,False
fase,Other,146,429491,0.00033993727458782606,2.8128626816791996e-05,0.95,0.00028909461364439647,0.0003997179872609836,False
fase,Presentación de observaciones,13612,429491,0.03169333001157184,0.00026730886649383226,0.95,0.031173588457163018,0.03222144875990507,False
fase,Presentación de oferta,213594,429491,0.4973189193720008,0.0007629335736184026,0.95,0.49582362771205624,0.49881425899182674,False
fase,Pré-Calificación de competidores,348,429491,0.000810261449017558,4.341697255350834e-05,0.95,0.0007295138957143355,0.0008999386407669295,False
fase,Selección de ofertas (borrador),170,429491,0.00039581737452007144,3.0351798155099004e-05,0.95,0.0003406301420571959,0.00045994165911462595,False
flag_evidencia_competencia_suficiente,positive,429541,429541,1.0,0.0,0.95,0.9999910569084994,0.9999999999999999,False
flag_evidencia_completitud_suficiente,positive,429541,429541,1.0,0.0,0.95,0.9999910569084994,0.9999999999999999,False
flag_evidencia_temporal_suficiente,positive,72838,429541,0.1695717056113386,0.0005725658629784669,0.95,0.16845245331891506,0.17069686800470418,False
flag_evidencia_trazabilidad_suficiente,positive,429541,429541,1.0,0.0,0.95,0.9999910569084994,0.9999999999999999,False
flag_hubo_competencia_minima,positive,33269,429541,0.07745244342216459,0.0004078586065338426,0.95,0.07665682876675757,0.0782556158404951,False
flag_hubo_participacion,positive,64073,429541,0.14916620299342787,0.0005435697399009448,0.95,0.14810396356273633,0.15023471750161552,False
fue_duplicado_logico,positive,1501,429541,0.0034944277729017717,9.003794785707411e-05,0.95,0.0033223418678692677,0.003675394267460054,False
modalidad_de_contratacion,Contratación Directa (con ofertas),8484,429541,0.019751315939572706,0.00021230676850322904,0.95,0.019339476923822596,0.02017174477117182,False
modalidad_de_contratacion,Contratación directa,283364,429541,0.6596902274753749,0.0007229444428253841,0.95,0.6582718598965477,0.66110573880557,False
modalidad_de_contratacion,Contratación régimen especial,51367,429541,0.11958579041348788,0.0004950864028077386,0.95,0.1186188393489148,0.12055954563622971,False
modalidad_de_contratacion,Contratación régimen especial (con ofertas),3559,429541,0.008285588570124854,0.0001383097136945012,0.95,0.008018869506572312,0.008561102527624367,False
modalidad_de_contratacion,Mínima cuantía,33858,429541,0.07882367457355642,0.00041114726952910406,0.95,0.07802160215175291,0.07963328023219213,False
modalidad_de_contratacion,Other,8152,429541,0.01897839787121602,0.00020819329897783648,0.95,0.018574627473105072,0.019390771909729987,False
modalidad_de_contratacion,Selección Abreviada de Menor Cuantía,18712,429541,0.04356277980448898,0.0003114466865381005,0.95,0.042956426557023586,0.044177296971603164,False
modalidad_de_contratacion,Selección abreviada subasta inversa,9140,429541,0.02127852754451845,0.00022019022349186517,0.95,0.02085122458122711,0.02171439300767255,False
modalidad_de_contratacion,Solicitud de información a los Proveedores,12905,429541,0.030043697807659805,0.00026046565488780597,0.95,0.02953738234941813,0.030558418990324878,False
ordenentidad,Corporación Autónoma,8973,429541,0.020889740443869154,0.00021821269381979544,0.95,0.020466316599891076,0.021321733741627217,False
ordenentidad,Nacional,152003,429541,0.3538730877844024,0.00072959251709742,0.95,0.35244442535091725,0.35530436387058084,False
ordenentidad,Territorial,268565,429541,0.6252371717717284,0.00073858134979339,0.95,0.6237884649587074,0.6266836385697766,False
riesgo_baja_transparencia,positive,340715,429541,0.7932071676510508,0.0006179576939565397,0.95,0.791993373225732,0.7944157177193119,False
tipo_de_contrato,Arrendamiento de inmuebles,4167,428958,0.009714237757542696,0.0001497535912386966,0.95,0.00942508521807318,0.010012171556247864,False
tipo_de_contrato,Compraventa,18789,428958,0.04380149105506833,0.0003124719894716595,0.95,0.04319313169558632,0.04441802115430758,False
tipo_de_contrato,Decreto 092 de 2017,17152,428958,0.039985266622839535,0.0002991448712245791,0.95,0.03940306114725178,0.0405757111886418,False
tipo_de_contrato,No,12905,428958,0.030084530420227622,0.00026081416572262556,0.95,0.0295775372250193,0.03059994003270727,False
tipo_de_contrato,Obra,10165,428958,0.023696958676607035,0.0002322369080836268,0.95,0.02324603016487385,0.024156418010164327,False
tipo_de_contrato,Other,7581,428958,0.017673058900871414,0.00020117615532650078,0.95,0.017283058346127648,0.0180716981684482,False
tipo_de_contrato,Otro,26147,428958,0.060954685540309306,0.0003652913906595189,0.95,0.06024265173955194,0.061674582858670834,False
tipo_de_contrato,Prestación de servicios,312293,428958,0.7280269863250015,0.0006794058153739655,0.95,0.7266933377549382,0.7293565508195442,False
tipo_de_contrato,Suministros,19759,428958,0.04606278470153255,0.00032005720243689093,0.95,0.0454395388684298,0.04669416077351071,False
